,product_name
0,Sensual Sandalwood - Bath & Shower Gel - 250ml
1,Hikkaduwa Eau De Perfume - 50ml
2,Unawatuna Eau De Perfume - 50ml
3,Mirissa Eau De Perfume - 50ml
4,Arugambay Eau De Perfume - 50ml
5,Sleep Intense - Wellness Trio
6,Sleep - Wellness Trio
7,Peace - Wellness Trio
8,Energise - Wellness Trio
9,De-stress - Wellness Trio
10,Neroli Jasmine - No Age - Serum Enriched Hand Cream - 30g
11,Ylang Lavender - Hand & Body Lotion 250ml
12,Cinnamon Spice - Hand & Body Lotion 250ml
13,Sensual Sandalwood - Hand & Body Lotion 250ml
14,Ultimate Glow Routine
15,Wake Up & Glow Routine
16,Ultra Glow Boost Routine
17,Beginner Glow Reveal Routine
18,Sensual Sandalwood - Body & Pillow Mist - 100ml
19,Neroli Jasmine - Calming Body Mist - 100ml
20,Surprise Beauty & Wellness Box
21,Virgin Coconut Islander Set
22,Sleep Intense Islander Set
23,Cardamom Rose Islander Set
24,Peace Islander Set
25,Fruit Paradise - 24 Days Wellness & Beauty Calendar
26,Energise - Home Spa Set
27,Sensual Sandalwood - Home Spa Set
28,Detox - Home Spa Set
29,Cardamom Rose - Home Spa Set
30,Ceylon Tea - Home Spa Set
31,Sleep Intense - Home Spa Set
32,De-Stress  - Home Spa Set
33,Virgin Coconut - Home Spa Set
34,Peace Lemongrass - Home Spa Set
35,Sleep - Home Spa Set
36,Tuberose - Eau De Perfume Roll-On - 10ml
37,Royal Lotus - Eau De Perfume Roll-On - 10ml
38,Night Jasmine - Eau de Perfume Roll-On - 10ml
39,Island Rose - Eau De Perfume Roll-On - 10ml
40,Youth Preserve Boosters (Copy)
41,Ashwagandha - Treatment Oil 250Ml
45,Aroma Gallery- Buy Any 2 for Rs.2500
46,Beach Aroma Duo Packs